ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate
53,Vito Acconci,"American, 1940–2017",American,male,1940,2017
54,Milton Ackoff,"American, born 1915",American,male,1915,0
55,Norman Ackroyd,British,British,male,0,0
56,Luis Alberto Acuña,"Colombian, 1904–1994",Colombian,male,1904,1994
57,Henri Georges Adam,"French, 1904–1967",French,male,1904,1967
58,Antoine Samuel Adam-Salomon,"French, 1818–1881",French,male,1818,1881
59,Valerio Adami,"Italian, born 1935",Italian,male,1935,0
60,Ansel Adams,"American, 1902–1984",American,male,1902,1984
61,Alice Adams,"American, born 1930",American,female,1930,0
62,Clinton Adams,"American, 1918–2002",American,male,1918,2002
63,Dacres Adams,"British, 1864–1951",British,male,1864,1951
64,Dennis Adams,"American, born 1948",American,male,1948,0
65,Kenneth M. Adams,"American, 1897–1966",American,male,1897,1966
66,Robert Adams,"American, born 1937",American,male,1937,0
67,Shelby Lee Adams,"American, born 1950",American,male,1950,0
68,Charles Addams,"American, 1912–1988",American,male,1912,1988
69,Allan Adler,"American, 1916–2002",American,male,1916,2002
70,Jankel Adler,"Polish, 1895–1949",Polish,male,1895,1949
71,Virginia Admiral,"American, 1915–2000",American,female,1915,2000
72,Pic Adrian,"Romanian, born 1910",Romanian,male,1910,0
74,Roy Adzak,"British, 1927–1987",British,male,1927,1987
76,Nicholas Africano,"American, born 1948",American,male,1948,0
77,Afro (Afro Basaldella),"Italian, 1912–1976",Italian,male,1912,1976
78,Aftograf,Russian,Russian,do not identify,0,0
79,Agam (Yaacov Agam),"Israeli, born 1928",Israeli,male,1928,0
80,Mehemed Fehmy Agha,"American, born Russia. 1896–1978",American,male,1896,1978
81,Kathleen Agnoli,"American, born 1945",American,female,1945,0
82,Peter Agostini,"American, 1913–1993",American,male,1913,1993
83,Olympe Aguado de las Marismas,"French, 1827–1894",French,male,1827,1894
84,Dongkuk S. Ahn,"American, 1937–2013",American,male,1937,2013
85,Aarne Aho,"Finnish, 1904–1978",Finnish,male,1904,1978
86,Otl Aicher (also known as Otto Aicher),"German, 1922–1991",German,male,1922,1991
87,Lucien Aigner,"American, born Hungary. 1901–1999",American,male,1901,1999
88,Gregory Ain,"American, 1908–1988",American,male,1908,1988
89,Edgar Ainsworth,"British, 1906–1975",British,male,1906,1975
91,Roberto Aizenberg,"Argentine, 1928–1996",Argentine,male,1928,1996
92,Kinji Akagawa,"Japanese, born 1940",Japanese,male,1940,0
93,Ryoji Akiyama,"Japanese, born 1942",Japanese,male,1942,0
94,Munira Al-Kazi,"Kuwaiti, born 1939",Kuwaiti,female,1939,0
95,Alastair (Hans H. Voight),"German, 1887–1969",German,male,1887,1969
96,Anni Albers,"American, born Germany. 1899–1994",American,female,1899,1994
97,Josef Albers,"American, born Germany. 1888–1976",American,male,1888,1976
98,Beatrice Albert,American,American,female,0,0
99,Joan Albert,"American, 1943–2012",American,female,1943,2012
100,Ivan LeLorraine Albright,"American, 1897–1983",American,male,1897,1983
103,Albert Alcalay,"American, 1917–2008",American,male,1917,2008
104,L. (Alfred Lewin Copley) Alcopley,"American, born Germany. 1910–1992",American,male,1910,1992
105,A. Alcorn,American,American,do not identify,0,0
106,Alan Aldridge,"British, born 1943",British,male,1943,0
107,Pierre Alechinsky,"Belgian, born 1927",Belgian,male,1927,0
108,Peter Alexander,"American, 1939–2020",American,male,1939,2020
111,Carlo Alfano,Italian,Italian,male,0,0
112,José R. Alicea,"American, born Puerto Rico 1928",American,male,1928,0
113,Leopoldo and Guiseppe Alinari,Italian,Italian,do not identify,0,0
114,James Alinder,"American, born 1941",American,male,1941,0
115,Yves Alix,"French, 1890–1969",French,male,1890,1969
116,Wobbe Alkema,"Dutch, 1900–1984",Dutch,male,1900,1984
117,William Allan,"American, born 1936",American,male,1936,0
118,Alexander Alland,"American, born Russia. 1902–1989",American,male,1902,1989
119,Harry Allen,"American, born 1964",American,male,1964,0
120,Terry Allen,"American, born 1943",American,male,1943,0
121,Adrian Allinson,"British, 1890–1959",British,male,1890,1959
123,Carlos Alonso,"Argentine, born 1929",Argentine,male,1929,0
124,Glen Alps,"American, 1914–1996",American,male,1914,1996
126,Henry Altchek,"American, born 1943",American,male,1943,0
127,Gerhard Altenbourg,"German, 1926–1989",German,male,1926,1989
128,Hobie Alter,"American, born 1933",American,male,1933,0
129,Harold Altman,"American, 1924–2003",American,male,1924,2003
131,Giacchino Altobelli,"Italian, born 1814",Italian,male,1814,0
132,John Altoon,"American, 1925–1969",American,male,1925,1969
135,Manuel Álvarez Bravo,"Mexican, 1902–2002",Mexican,male,1902,2002
136,Dag Alveng,"Norwegian, born 1953",Norwegian,male,1953,0
137,Getulio Alviani,"Italian, born 1939",Italian,male,1939,0
138,Edmond-François Aman Jean,"French, 1858–1936",French,male,1858,1936
139,Kunihiro Amano,Japanese,Japanese,male,0,0
140,Jim Amaral,"American, born 1933",American,male,1933,0
141,Emilio Ambasz,"Argentine, born 1943",Argentine,male,1943,0
142,M. Ameen,Nationality unknown,Nationality unknown,do not identify,0,0
143,Irving Amen,"American, 1918–2011",American,male,1918,2011
144,Woody van Amen,"Dutch, born 1936",Dutch,male,1936,0
145,Gregory Amenoff,"American, born 1948",American,male,1948,0
148,Florencia de Amesti,"Chilean, 1925–2006",Chilean,female,1925,2006
149,Cuno Amiet,"Swiss, 1868–1961",Swiss,male,1868,1961
150,Francisco Amighetti Ruiz,"Costa Rican, 1907–1998",Costa Rican,male,1907,1998
152,Ralph Ammirati,American,American,male,0,0
153,Emma Amos,"American, 1937–2020",American,female,1937,2020
154,Mauricio Amster Cats,"Chilean, born Lvov, 1907–1980",Chilean,male,1907,1980
155,William Anastasi,"American, born 1933",American,male,1933,0
157,Stephen Ancona,"American, born 1932",American,male,1932,0
158,Jiþi Anderle,"Czech, born 1936",Czech,male,1936,0
159,Gunnar Aagaard Andersen,"Danish, 1919–1982",Danish,male,1919,1982
160,Karin Schou Andersen,"Danish, born 1953",Danish,female,1953,0
161,Clarence William Anderson,"American, 1891–1971",American,male,1891,1971
162,Carl Anderson,"American, 1903–1989",American,male,1903,1989
163,Dennis Anderson,"American, born 1948",American,male,1948,0
164,Jeremy Anderson,"American, 1921–1982",American,male,1921,1982
165,James Anderson,"British, 1813–1877",British,male,1813,1877
166,Jerry Anderson,"American, born 1938",American,male,1938,0
167,John Anderson,"British, 1928–2021",British,male,1928,2021
168,Neil Anderson,"American, born 1933",American,male,1933,0
169,Paul L. Anderson,"American, 1880–1956",American,male,1880,1956
170,Monika Andersson,"Swedish, born 1957",Swedish,female,1957,0
172,Joe Andoe,"American, born 1955",American,male,1955,0
173,Farnese de Andrade-Neto,"Brazilian, 1926–1996",Brazilian,male,1926,1996
174,Carl Andre,"American, born 1935",American,male,1935,0
175,Pat Andrea,"Dutch, born 1942",Dutch,male,1942,0
176,A. Andreas,French,French,do not identify,0,0
177,Henning Andreasen,"Danish, born 1923",Danish,male,1923,0
178,Laura Andreson,"American, 1902–1999",American,female,1902,1999
179,Mariano Andreù,"Spanish, 1888–1976",Spanish,male,1888,1976
180,Benny Andrews,"American, 1930–2006",American,male,1930,2006
181,Emmy Andriesse,"Dutch, 1914–1953",Dutch,female,1914,1953
182,Claudia Andujar,"Brazilian, born Switzerland 1931",American,female,1931,0
183,Manuel Angeles Ortiz,"Spanish, 1896–1984",Spanish,male,1895,1984
184,Ludwig Angerer,"Austrian, 1827–1879",Austrian,male,1827,1879
185,Bruce Angrave,British,British,male,0,0
186,Raúl Anguiano,"Mexican, 1915–2006",Mexican,male,1915,2006
188,Sibyl Anikeef,"American, 1896–1996",American,female,1896,1996
189,James Craig Annan,"British, 1864–1946",British,male,1864,1946
190,Thomas Annan,"British, 1829–1887",British,male,1829,1887
193,David Annesley,"British, born 1936",British,male,1936,0
194,Horst Antes,"German, born 1936",German,male,1936,0
195,William Anthony,"American, born 1934",American,male,1934,0
196,Stephen Antonakos,"American, 1926–2013",American,male,1926,2013
198,Garo Antreasian,"American, 1922–2018",American,male,1922,2018
199,Nemesio Antúnez,"Chilean, 1918–1993",Chilean,male,1918,1993
200,Richard Anuszkiewicz,"American, 1930–2020",American,male,1930,2020
202,Carl Apfelschnitt,"American, born 1948",American,male,1948,0
203,Karel Appel,"Dutch, 1921–2006",Dutch,male,1921,2006
204,Leon Appelbaum,American,American,male,0,0
205,Ida Applebroog,"American, born 1929",American,female,1929,0
207,Shusaku Arakawa,"American, born Japan. 1936–2010",American,male,1936,2010
208,Diane Arbus,"American, 1923–1971",American,female,1923,1971
209,Alexander Archipenko,"American, born Ukraine. 1887–1964",American,male,1887,1964
211,Mordecai Ardon,"Israeli, born Poland. 1896–1992",Israeli,male,1896,1992
212,Luis Arenal,"Mexican, 1909–1985",Mexican,male,1909,1985
214,Egmont Arens,"American, 1888–1966",American,male,1888,1966
215,Tamotsu Arikawa,Japanese,Japanese,male,0,0
216,Avigdor Arikha,"Romanian, 1929–2010",Romanian,male,1929,2010
217,Gonzalo Ariza,"Colombian, 1912–1995",Colombian,male,1912,1995
218,Alda Maria Armagni,Argentine,Argentine,female,0,0
219,Siah Armajani,"American, born Iran. 1939–2020",American,male,1939,2020
220,Arman,"American, born France. 1928–2005",American,male,1928,2005
221,Armando,"Dutch, born 1929",Dutch,male,1929,0
222,F. Armbruster,"French, 1835–1912",French,male,1835,1912
224,Kenneth Armitage,"British, 1916–2002",British,male,1916,2002
225,John Taylor Arms,"American, 1887–1953",American,male,1887,1953
226,John Armstrong,"British, 1893–1973",British,male,1893,1973
227,François Arnal,"French, 1924–2012",French,male,1924,2012
228,Arndt,"German, 1898–1976",German,do not identify,1898,1976
229,Eugène Atget,"French, 1857–1927",French,male,1857,1927
230,John Atherton,"American, 1900–1952",American,male,1900,1952
231,Anna Atkins,"British, 1799–1871",British,female,1799,1871
232,Conrad Atkinson,"British, born 1940",British,male,1940,0
233,Lawrence Atkinson,"British, 1873–1931",British,male,1873,1931
234,Terry Atkinson,"British, born 1939",British,male,1939,0
235,Jean-Michel Atlan,"French, born Algeria. 1913–1960",French,male,1913,1960
236,Dotty Attie,"American, born 1938",American,female,1938,0
238,Carl Auböck,"Austrian, 1924–1993",Austrian,male,1924,1993
239,Charles Aubry,"French, 1811–1877",French,male,1811,1877
240,Frank Auerbach,"British, born Germany 1931. To England 1939.",British,male,1931,0
241,Gae Aulenti,"Italian, 1930–2012",Italian,female,1930,2012
242,Keith James Aulik,"American, 1918–1999",American,male,1918,1999
243,George Ault,"American, 1891–1948",American,male,1891,1948
245,Irving Austin,American,American,male,0,0
246,Mario Avati,"Italian, 1921–2009",Italian,male,1921,2009
247,Edward Avedisian,"American, 1936–2007",American,male,1936,2007
248,Richard Avedon,"American, 1923–2004",American,male,1923,2004
249,Frances Avery,"American, born Canada. 1910–2006",American,female,1910,2006
250,Milton Avery,"American, 1885–1965",American,male,1885,1965
251,David Avison,"American, 1937–2004",American,male,1937,2004
252,Mordechai Avniel,Israeli,Israeli,male,0,0
254,Kiyoshi Awazu,"Japanese, 1929–2009",Japanese,male,1929,2009
255,Ay-O,"Japanese, born 1931",Japanese,male,1931,0
256,Alice Aycock,"American, born 1946",American,female,1946,0
257,Pierre Ayot,"Canadian, 1943–1995",Canadian,male,1943,1995
258,Michael Ayrton,"British, 1921–1975",British,male,1921,1975
259,Luis Cruz Azaceta,"American, born 1942",American,male,1942,0
260,Umetaro Azechi,"Japanese, 1902–1999",Japanese,male,1902,1999
261,Kengiro Azuma,"Japanese, born 1926",Japanese,male,1926,0
262,Johannes Baader,"German, 1875–1955",German,male,1875,1955
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),"German, 1892–1927",German,male,1892,1927
264,Kurt W. Baasch,"American, born Venezuela. 1891–1964",American,male,1891,1964
265,Alice Baber,"American, 1928–1982",American,female,1928,1982
266,Bacard Fils,French,French,male,0,0
268,Edmondo Bacci,"Italian, 1913–1978",Italian,male,1913,1978
269,Elvira Bach,"German, born 1951",German,female,1951,0
270,Olof Backman,"Swedish, born 1899",Swedish,male,1899,0
271,Olof Backstrom,"Finnish, born 1922",Finnish,male,1922,0
272,Francis Bacon,"British, born Ireland. 1909–1992",British,male,1909,1992
273,Peggy Bacon,"American, 1895–1987",American,female,1895,1987
275,Karl Baden,"American, born 1952",American,male,1952,0
276,Mowry Thatcher Baden,"American, born 1936",American,male,1936,0
277,Aquiles Badi,"Argentine, 1894–1976",Argentine,male,1894,1976
278,Libero Badii,"Argentine, 1916–2001",Argentine,male,1916,2001
279,Frank Badur,"German, born 1944",German,male,1944,0
280,Donald Baechler,"American, 1956 – 2022",American,male,1956,2022
281,Jo Baer,"American, born 1929",American,female,1929,0
282,Martin Baer,"American, 1894–1961",American,male,1894,1961
283,Olle Baertling,"Swedish, 1911–1981",Swedish,male,1911,1981
284,Myrna Báez,"American, born Puerto Rico 1931",American,female,1931,0
285,John Bageris,"American, 1924–2000",American,male,1924,2000
286,Heinz Bahr,"German, born 1934",German,male,1934,0
287,Malcolm Bailey,"American, 1947–2011",American,male,1947,2011
288,Oscar Bailey,"American, 1925–2010",American,male,1925,2010
289,William Bailey,"American, 1930–2020",American,male,1930,2020
290,Larry Bair,"American, 1952–1990",American,male,1952,1990
291,Eugenie Baizerman,"American, born Poland. 1899–1949",American,female,1899,1949
292,Enrico Baj,"Italian, 1924–2003",Italian,male,1924,2003
294,Carl Baker,American,American,male,0,0
296,Mikal Baker,"American, born 1946",American,male,1946,0
298,Vagrich Bakhchanyan,"Russian, 1938–2009",Russian,male,1938,2009
299,Gerhard H. Bakker,"American, born Germany. 1906–1988",American,male,1906,1988
300,Léon Bakst,"Russian, 1866–1924",Russian,male,1866,1924
301,Gerard Baksteen,"Dutch, 1887–1976",Dutch,male,1887,1976
302,Amèrico Balán,"Argentine, 1915–1986",Argentine,male,1915,1986
303,Jirí Balcar,"Czech, 1929–1968",Czech,male,1929,1968
304,John Baldessari,"American, 1931–2020",American,male,1931,2020
305,George Baldessin,"Australian, 1939–1978",Australian,male,1939,1978
307,C. Leroy Baldridge,"American, 1889–1975",American,male,1889,1975
308,Édouard-Denis Baldus,"French, 1813–1882",French,male,1813,1882
309,Benjamin Baldwin,"American, 1913–1993",American,male,1913,1993
310,Joost Baljeu,"Dutch, 1925–1991",Dutch,male,1925,1991
311,Giacomo Balla,"Italian, 1871–1958",Italian,male,1871,1958
313,R. Maxil Ballinger,"American, 1914–1958",American,male,1914,1958
314,Theo H. Ballmer,"Swiss, 1902–1965",Swiss,male,1902,1965
315,Alexander Bally,"American, born 1938",American,male,1938,0
316,John F. Balossi,"American, 1931–2007",American,male,1931,2007
317,Balthus (Baltusz Klossowski de Rola),"French, 1908–2001",French,male,1908,2001
318,Lewis Baltz,"American, 1945–2014",American,male,1945,2014
319,Thomas Bamberger,"American, born 1948",American,male,1948,0
320,McDonald (Mackey Jeffries) Bane,"American, born 1928",American,female,1928,0
321,Colette Bangert,"American, born 1934",American,female,1934,0
322,Walter Darby Bannard,"American, 1934–2016",American,male,1934,2016
323,John Banting,"British, 1902–1972",British,male,1902,1972
324,Rudolf Baranik,"American, 1920–1998",American,male,1920,1998
325,Vladimir Baranoff-Rossiné,"Ukrainian, 1888–1944",Ukrainian,male,1888,1944
327,Anthony Barboza,"American, born 1944",American,male,1944,0
329,Miquel Barcelo,"Spanish, born 1957",Spanish,male,1957,0
330,Peter Bardazzi,"American, born 1943",American,male,1943,0
331,Jules-Jean-Antoine Baric,"French, 1825–1905",French,male,1825,1905
332,Richard Baringer,"American, 1921–1980",American,male,1921,1980
333,George Barker,"Australian, born 1942",Australian,male,1942,0
334,Walter William Barker,"American, born Germany. 1921–2004",American,male,1921,2004
335,Ernst Barlach,"German, 1870–1938",German,male,1870,1938
336,George N. Barnard,"American, 1819–1902",American,male,1819,1902
337,Cyril H. Barnes,American,American,male,0,0
338,Matthew Rackham Barnes,"American, born Scotland.1880–1951",American,male,1880,1951
339,Robert Barnes,"American, born 1934",American,male,1934,0
342,Will Barnet,"American, 1911–2012",American,male,1911,2012
343,Tina Barney,"American, born 1945",American,female,1945,0
344,Hannelore Baron,"American, 1926–1987",American,female,1926,1987
345,Martin Barooshian,"American, born 1929",American,male,1929,0
347,Steve Barraclough,British,British,male,0,0
348,Maurice Barraud,"Swiss, 1889–1955",Swiss,male,1889,1955
349,Susan Barron,"American, born 1947",American,female,1947,0
350,Thomas F. Barrow,"American, born 1938",American,male,1938,0
351,David Francis Barry,"American, 1854–1934",American,male,1854,1934
352,Robert Barry,"American, born 1936",American,male,1936,0
353,Robert Bart,"American, born Canada 1923",American,male,1923,0
354,Frances Barth,"American, born 1946",American,female,1946,0
355,Ruodi Barth,"Swiss, 1921–1999",Swiss,male,1921,1999
356,"Ralph Bartholomew, Jr.","American, 1907–1985",American,male,1907,1985
357,Jennifer Bartlett,"American, 1941–2022",American,female,1941,2022
358,Robert Bartlett,"British, 1922–1979",British,male,1922,1979
359,Carlo Bartoli,"Italian, born 1931",Italian,male,1931,0
360,Luigi Bartolini,"Italian, 1892–1963",Italian,male,1892,1963
361,Joseph Bartscherer,"American, born 1954",American,male,1954,0
362,Gianfranco Baruchello,"Italian, born 1924",Italian,male,1924,0
363,Héctor Basaldua,"Argentine, 1895–1976",Argentine,male,1895,1976
364,Bernard Baschet,"French, 1917–2015",French,male,1917,2015
365,François Baschet,"French, 1920–2014",French,male,1920,2014
366,Georg Baselitz,"German, born 1938",German,male,1938,0
368,Mati Basis,"Israeli, born 1933",Israeli,male,1933,0
369,Leonard Baskin,"American, 1922–2000",American,male,1922,2000
370,Jean-Michel Basquiat,"American, 1960–1988",American,male,1960,1988
371,Joel Bass,"American, born 1943",American,male,1943,0
372,Saul Bass,"American, 1920–1996",American,male,1920,1996
373,Giampiero Bassi,"Italian, born 1926",Italian,do not identify,1926,0
374,Miriam Bat-Yosef,"German, born 1931",German,female,1931,0
375,Georges Bataille,"French, 1897–1962",French,male,1897,1962
377,Josef Bato,"Hungarian, 1888–1966",Hungarian,male,1888,1966
378,John Battan,"American, 1943–1976",American,male,1943,1976
379,Wall Batterton,"British, born 1932",British,male,1932,0
380,Dora M. Batty,"British, 1900–1966",British,female,1900,1966
381,Eugen Batz,"German, 1905–1986; at Bauhaus 1929–31",German,male,1905,1986
382,"Harry W. Batz, Jr.",American,American,male,0,0
383,André Bauchant,"French, 1873–1958",French,male,1873,1958
384,Karl Bauer,"German, 1868–1942",German,male,1868,1942
385,Rudolph Bauer,"American, born Poland. 1889–1954",American,male,1889,1954
386,Mary Bauermeister,"American, born 1934",American,female,1934,0
387,Bauhaus,German,German,do not identify,0,0
388,Marilyn Baum,"American, born 1939",American,female,1939,0
390,Hans Theo Baumann,"German, born Switzerland 1924",German,male,1924,0
391,Otto Baumberger,"Swiss, 1889–1961",Swiss,male,1889,1961
392,Willi Baumeister,"German, 1889–1955",German,male,1889,1955
393,Lothar Baumgarten,"German, 1944–2018",German,male,1944,2018
395,Edward Bawden,"British, 1903–1989",British,male,1903,1989
396,Glen Baxter,British,British,male,0,0
397,Iain Baxter&,"Canadian, born England 1936",Canadian,male,1936,0
398,Hippolyte Bayard,"French, 1801–1887",French,male,1801,1887
399,Herbert Bayer,"American, born Austria. 1900–1985",American,male,1900,1985
401,Ed Baynard,"American, born 1940",American,male,1940,0
402,Thomas Bayrle,"German, born 1937",German,male,1937,0
403,Douglas Baz,"American, born 1943",American,male,1943,0
404,Jean Bazaine,"French, 1904–2001",French,male,1904,2001
405,Castera Bazile,"Haitian, 1923–1966",Haitian,male,1923,1966
406,William Baziotes,"American, 1912–1963",American,male,1912,1963
407,Gifford Beal,"American, 1879–1956",American,male,1879,1956
408,Jack Beal,"American,1931–2013",American,male,1931,2013
409,Lester Beall,"American, 1903–1969",American,male,1903,1969
411,Mark Beard,"American, born 1956",American,male,1956,0
412,Romare Bearden,"American, 1911–1988",American,male,1911,1988
413,Aubrey Beardsley,"British, 1872–1898",British,male,1872,1898
414,Bruce Beasley,"American, born 1939",American,male,1939,0
415,Beath,"British, 1913–1991",British,do not identify,1913,1991
416,Felice Beato,"Italian, 1825–1903",Italian,male,1825,1903
417,Cecil Beaton,"British, 1904–1980",British,male,1904,1980
418,Leslie Beaton,American,American,female,0,0
420,André Beaudin,"French, 1895–1975",French,male,1895,1975
421,Alessandro Becchi,"Italian, born 1946",Italian,male,1946,0
422,Bernd Becher,"German, 1931–2007",German,male,1931,2007
423,Thelma Becherer,"American, 1916–2008",American,female,1916,2008
424,Robert Bechtle,"American, 1932–2020",American,male,1932,2020
425,Gustav K. Beck,"Austrian, 1902–1983",Austrian,male,1902,1983
426,A. Becker,German,German,do not identify,0,0
427,Fred Becker,"American, 1913–2004",American,male,1913,2004
428,Bill Beckley,"American, born 1946",American,male,1946,0
429,Max Beckmann,"German, 1884–1950",German,male,1884,1950
430,Francis Bedford,"British, 1816–1894",British,male,1816,1894
431,René Beeh,"German, 1886–1922",German,male,1886,1922
432,Jan Bontjes van Beek,"German, 1899–1969",German,male,1899,1969
433,Chris Hendrik Beekman,"Dutch, 1887–1964",Dutch,male,1887,1964
434,Max Beerbohm,"British, 1872–1956",British,male,1872,1956
436,Hedda Beese,"German, born 1944",German,female,1944,0
438,Peter Behrens,"German, 1868–1940",German,male,1868,1940
439,Edith Behring,"Brazilian, 1916–1996",Brazilian,female,1916,1996
440,John Behringer,"American, born 1939",American,male,1939,0
441,J. J. Beljon,"Dutch, 1922–2002",Dutch,male,1922,2002
442,Alistair Macready Bell,"Canadian, 1913–1997",Canadian,male,1913,1997
443,Charles M. Bell,"American, 1848–1893",American,male,1848,1893
444,Larry Bell,"American, born 1939",American,male,1939,0
445,Vanessa Bell,"British, 1879–1961",British,female,1879,1961
446,William H. Bell,"American, 1830–1910",American,male,1830,1910
447,Ross Bellah,"American, 1907–2004",American,male,1907,2004
448,Joseph Bellanca,"American, 1930–2013",American,male,1930,2013
449,John Bellany,"British, 1942–2013",British,male,1942,2013
450,Rudolf Belling,"German, 1886–1972",German,male,1886,1972
451,Mario Bellini,"Italian, born 1935",Italian,male,1935,0
452,Hans Bellmer,"German, 1902–1975",German,male,1902,1975
453,Ernest J. Bellocq,"American, 1873–1949",American,male,1873,1949
455,George Bellows,"American, 1882–1925",American,male,1882,1925
456,Rossella Bellusci,"Italian, born 1947",Italian,female,1947,0
457,Giandomenico Belotti,"Italian, born 1922",Italian,male,1922,0
458,Christian Belpaire,"Congolese, 1949–2003",Congolese,male,1949,2003
459,Antoli Pawlowitsch Belski,"Russian, 1896–1971",Russian,male,1896,1971
461,David Ben Shaul,Israeli,Israeli,male,0,0
462,Ahron Ben-Shmuel,"American, 1903–1984",American,male,1903,1984
463,Ben-Zion,"American, born Ukraine. 1897–1987",American,male,1897,1987
464,Adolf Benca,"American, born 1959",American,male,1959,0
465,W. T. Benda,"American, 1873–1948",American,male,1873,1948
466,C. Whitney Bender,"American, born 1929",American,do not identify,1929,0
467,Niels Sylvester Bendtsen,"Danish, born 1943",Danish,male,1943,0
468,Nair Benedicto,"Brazilian, born 1940",Brazilian,female,1940,0
469,Luis Fernando Benedit,"Argentine, 1937–2011",Argentine,male,1937,2011
470,G. A. Beneker,"American, 1882–1934",American,male,1882,1934
471,Lynda Benglis,"American, born 1941",American,female,1941,0
472,Billy Al Bengston,"American, 1934-2022",American,male,1934,2022
473,Jim Bengston,"American, born 1942",American,male,1942,0
474,Anthony Benjamin,British,British,male,0,0
475,Gordon Bennett,"American, 1933–2012",American,male,1933,2012
476,Henry Hamilton Bennett,"American, born Canada. 1843–1908",American,male,1843,1908
478,Ward Bennett,"American, 1917–2003",American,male,1917,2003
481,David Bentley,"American, born 1938",American,male,1938,0
482,Nicholas Bentley,"British, 1907–1978",British,male,1907,1978
483,Thomas Hart Benton,"American, 1889–1975",American,male,1889,1975
484,Roloff Beny,"Canadian, 1924–1984",Canadian,male,1924,1984
485,Etienne (Istvan) Béothy,"Hungarian, 1897–1962",Hungarian,male,1897,1962
486,Christian Bérard,"French, 1902–1949",French,male,1902,1949
487,Roberto Berdecio,"Bolivian, 1913–1996",Bolivian,male,1913,1996
488,Vera Berdich,"American,1915–2003",American,female,1915,2003
489,Ed Bereal,"American, born 1937",American,male,1937,0
490,Stephen Lynn Berens,"American, born 1952",American,male,1952,0
491,Berger (?),"British, born 1938",British,do not identify,1938,0
492,Charles Berger,"American, born 1943",American,male,1943,0
493,Jason Berger,"American, 1924–2010",American,male,1924,2010
495,Hagbard Elis Bergh,"Swedish, 1881–1954",Swedish,male,1881,1954
496,Håkan Bergkvist,"Swedish, born 1946",Swedish,male,1946,0
497,Ella Bergmann-Michel,"German, 1896–1971",German,female,1896,1971
498,Paul Bergtold,"American, born 1942",American,male,1942,0
501,Henryk Berlewi,"Polish, 1894–1967",Polish,male,1894,1967
